Term,gen_sg,Vocab_nom_sg,Source,Category,Subcategory,Translation_eng
colorator,oris,,Petrikovits 1981a,Clothing,Colour production,"dyer, colormaker, painter"
columnarius,i,,Petrikovits 1981a,Building,,column manufacturer
conchylegulus,i,,Petrikovits 1981a,Clothing,Colour production,a collector of purpur shell-fish
conchyliarius,i,,Petrikovits 1981a,Clothing,Colour production,a collector of purpur shell-fish
conchyliolegulus,i,conchyliolegulus,Waltzing - provinces,Clothing,Colour production,a collector of purpur shell-fish
condeatis,is,,Waltzing - provinces,Transport,Maritime/water transport,small boat owner
conditarius,i,,Petrikovits 1981a,Food-Production,,"fine cook, foor preparer"
conditor,oris,,Petrikovits 1981a,Food-Production,,"cook, a seasoner, pickler"
confector,oris,,Petrikovits 1981a,Miscellaneous Services,,"an accomplisher, finisher, a tanner"
confectorarius,i,confectorarius,Waltzing - Rome,Food-Production,,a butcher
confectuarius,i,,Petrikovits 1981a,Food-Production,,a butcher
conflator,oris,,Petrikovits 1981a,Metal-Working,,a metal-caster
conquiliarius,i,,Petrikovits 1981a,Clothing,Colour production,a collector of purpur shell-fish
consutor,oris,,Petrikovits 1981a,Building,,"joiner, fixer, trimmer"
copiata,ae,copiata,Waltzing - Rome,Death-care sector,,"a grave-digger, sexton"
copo,onis,,Petrikovits 1981a,Miscellaneous Services,,innkeeper
coquus,i,coquus,Waltzing - Rome,Food-Production,,cook
corarianus,i,,Petrikovits 1981a,Clothing,,tanner of leather and hides
corarius,i,corarius,Waltzing - Rome,Clothing,,tanner of leather and hides
coriarius,i,coriarius,Waltzing - provinces,Clothing,,"a tanner, currier"
cornicen,nis,cornicen,Waltzing - Rome,Performing Arts,,"a hornblower, trumpeter, cornet-player"
cornuarius,i,,Petrikovits 1981a,Miscellaneous Services,,horn maker
coronarius,i,coronarius,Waltzing - Rome,Miscellaneous Services,,maker of wreaths/crowns
cotiarius,i,,Petrikovits 1981a,Household Goods,,"grinding stone producer, seller"
crepidarius,i,,Petrikovits 1981a,Clothing,Shoe maker,"a sandal-maker, shoemaker"
cretaria,ae,,Petrikovits 1981a,Retail,,"a shop for Cretan earth, pottery"
cribrarius,i,,Petrikovits 1981a,Miscellaneous Services,,"screen, sieve maker"
crocotarius,i,,Petrikovits 1981a,Clothing,Colour production,"painter of yellow colour, dyer"
crustarius,i,,Petrikovits 1981a,Plastic Arts,,relief maker
crustularius,i,,Petrikovits 1981a,Food-Production,,"one who makes pastry, a confectioner"
