,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures
210,Hanson2016_211,Thysdrus,El Djem,Africa Proconsularis,Tunisia,3,33 G2,-50,,10.706969,35.294796000000005,Benario 1981; BNP; Bomgardner 2000; Brunt 1971; DGRG; Golvin 1988; Humphrey 1986; Lepelley 1979-1981; MacMullen 2000; PECS; Russell 1958; Salmon 1969; Wilson 2011.,175.0,"Inhabited area, 150 to 200 ha.","['Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Amphitheatre', 'Amphitheatre', 'Aqueduct', 'Aqueduct', 'Aqueduct', 'Baths', 'Forum?', 'Hippodrome', 'Temple', 'Temple', 'Theatre?', 'Walls']",13
211,Hanson2016_212,Tunisa,Tunis,Africa Proconsularis,Tunisia,4 or 5,32 F2,-49,,10.171649,36.79923,BNP; DGRG; Sear 2006.,,,['Rights and privileges'],"['Baths', 'Theatre', 'Walls']",3
212,Hanson2016_213,Turris Tamalleni,Henchir el Aouinia,Africa Proconsularis,Tunisia,3,35 A1,100,,8.920624,33.716837,Boatwright 2000; DGRG.,,,['Municipium'],,0
213,Hanson2016_214,Uluzibbira,Henchir Zembra,Africa Proconsularis,Tunisia,3,33 F1,-50,,10.447151,35.954006,Boatwright 2000; Bomgardner 2000; Sear 2006.,,,"['Colonia', 'Rights and privileges']","['Amphitheatre', 'Theatre']",2
214,Hanson2016_215,Unknown (1),Ksar el Guelal,Africa Proconsularis,Tunisia,-,-,100,,8.966667,35.266667,Heichelheim 1938.,53.0,Inhabited area,,"['Aqueduct', 'Baths', 'Forum', 'Nymphaeum', 'Temple', 'Walls']",6
215,Hanson2016_216,Uthina,Oudna,Africa Proconsularis,Tunisia,3,32 F3,-200,,10.172746,36.606899,BNP; Bomgardner 2000; Brunt 1971; Cornell and Mathews 1982; DGRG; Golvin 1988; MacMullen 2000; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.,120.0,Walls,"['Colonia', 'Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Aqueduct', 'Arch', 'Baths (Large)', 'Baths (Small)', 'Baths of the Laberii', 'Forum', ""Temple ('capitolium')"", 'Theatre', 'Walls']",11
216,Hanson2016_217,Utica,Utique,Africa Proconsularis,Tunisia,3,32 F2,-400,,10.038,37.0358,BNP; Boatwright 2000; Bomgardner 2000; Brunt 1971; Cornell and Mathews 1982; DGRG; Golvin 1988; Lepelley 1979-1981; MacMullen 2000; PECS; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011.,88.0,Inhabited area,"['Colonia', 'Colonia', 'Colonia', 'Colonia', 'Municipium', 'Provincial capital', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Amphitheatre (Large)', 'Amphitheatre (Small)?', 'Aqueduct', 'Baths', 'Baths (Large)', 'Forum (New)', 'Forum (Old)', 'Hippodrome', 'Temple', 'Temple of Apollo', 'Theatre (Imperial)', 'Theatre (Republican)', 'Urban grid']",14
217,Hanson2016_218,Uzalis,Al Alia,Africa Proconsularis,Tunisia,4 or 5,32 F2,-150,,10.033986,37.169048,Lepelley 1979-1981; Russell 1958; Salmon 1969.,34.0,Unspecified,"['Colonia', 'Rights and privileges', 'Rights and privileges']",,0
218,Hanson2016_219,Vaga,Béja,Africa Proconsularis,Tunisia,3,32 D3,-50,,9.182019,36.725536,BNP; Brunt 1971; DGRG; Lepelley 1979-1981; PECS; Salmon 1969.,,,"['Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges']","['Basilica', 'Walls']",2
219,Hanson2016_220,Vallis,Henchir Sidi Median,Africa Proconsularis,Tunisia,4 or 5,32 E3,100,,9.750001,36.750001,BNP; Lepelley 1979-1981; Quinn and Wilson 2013; Salmon 1969; Sear 2006.,,,"['Colonia', 'Municipium']","['Baths', 'Gymnasium', ""Temple ('capitolium')"", 'Theatre?', 'Walls']",5
