,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff
385,Hanson2016_386,Camulodunum,Colchester,Britannia,United Kingdom,3,8 H3,49,,Humphrey 1986; McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; Nelis-Clément and Roddaz 2008; PECS; Russell 1958; Salmon 1969; Sear 2006; Wacher 1995; Woloch 1983.,48.0,Walls,"['Colonia', 'Provincial capital']","['Amphitheatre', 'Circus', 'Curia', 'Fort', 'Forum-basilica', 'Temple of Claudius', 'Theatre', 'Unidentified public building', 'Urban grid', 'Walls', 'Walls']",11,POINT (0.8990309999999999 51.890961),386,29.0,29.0,29.0,7376.0,7376.0,1.0
386,Hanson2016_387,Corinium Dobunnorum,Cirencester,Britannia,United Kingdom,3,8 F3,100,,Golvin 1988; McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Sear 2006; Wacher 1995.,93.0,Urban grid and walls,['Civitas capital'],"['Amphitheatre', 'Aqueduct', 'Baths', 'Fort', 'Forum-basilica', 'Macellum?', 'Temple', 'Temple', 'Theatre', 'Urban grid', 'Walls', 'Walls']",12,POINT (-1.966753 51.713643),387,30.0,30.0,30.0,17849.0,17849.0,1.0
387,Hanson2016_388,Corstopitum,Corbridge,Britannia,United Kingdom,4 or 5,9 E6,200,,BNP; Burnham and Wacher 1990; Millett 1990: Table 6.5; PECS.,16.0,Walls,,"['Baths', 'Fort', 'Fort', 'Fort', 'Forum', 'Temple', 'Temple of Apollo Maponus?', 'Temple of Jupiter Dolicherus', 'Walls', 'Walls']",10,POINT (-2.029155 54.978122),388,,,,,1700.0,
388,Hanson2016_389,Durnovaria,Dorchester,Britannia,United Kingdom,3,8 E4,100,,BNP; DGRG; Golvin 1988; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995.,39.0,Walls,['Civitas capital'],"['Amphitheatre', 'Aqueduct', 'Baths', 'Baths', 'Fort?', 'Forum-basilica', 'Urban grid', 'Walls', 'Walls']",9,POINT (-2.440504 50.71094),389,,,,,5589.0,
389,Hanson2016_390,Durobrivae (Britannia) (1),Water Newton,Britannia,United Kingdom,4 or 5,8 G2,100,,BNP; Burnham and Wacher 1990;Millett 1990: Table 6.5; Wacher 1995.,18.0,Walls,,"['Forum?', 'Market?', 'Walls']",3,POINT (-0.34821 52.55899),390,,,,,1989.0,
390,Hanson2016_391,Durobrivae (Britannia) (2),Rochester,Britannia,United Kingdom,4 or 5,8 H3,100,,Burnham and Wacher 1990; Millett 1990: Table 6.5; PECS.,9.0,Walls,,"['Baths?', 'Forum?', 'Walls', 'Walls']",4,POINT (0.503732 51.38979000000001),391,,,,,788.0,
391,Hanson2016_392,Durovernum,Canterbury,Britannia,United Kingdom,3,8 I3,70,,BNP; DGRG; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Sear 2006; Wacher 1995.,59.0,Walls,['Civitas capital'],"['Baths', 'Baths', 'Fort', 'Forum-basilica', 'Temple', 'Theatre', 'Theatre', 'Urban grid', 'Walls']",9,POINT (1.080503 51.278717),392,31.0,31.0,31.0,9718.0,9718.0,1.0
392,Hanson2016_393,Eburacum,York,Britannia,United Kingdom,2,9 F7,100,,McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Salmon 1969; Wacher 1995.,40.0,Inhabited area,"['Colonia', 'Municipium', 'Provincial capital']","['Amphitheatre', 'Aqueduct', 'Baths', 'Fort', 'Forum-basilica', 'Market', 'Temple', 'Temple', 'Walls', 'Walls']",10,POINT (-1.082286 53.95770200000001),393,,,,,5782.0,
393,Hanson2016_394,Glevum,Gloucester,Britannia,United Kingdom,3,8 E3,96,,BNP; DGRG; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Salmon 1969; Wacher 1995; Woloch 1983.,52.0,Walls,['Colonia'],"['Aqueduct', 'Baths', 'Fort', 'Fort', 'Forum-basilica', 'Temple', 'Temple', 'Walls']",8,POINT (-2.245843 51.865325),394,32.0,32.0,32.0,8209.0,8209.0,1.0
394,Hanson2016_395,Isca,Exeter,Britannia,United Kingdom,3,8 D4,100,,BNP; DGRG; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995.,37.0,Walls,['Civitas capital'],"['Aqueduct?', 'Basilica', 'Baths', 'Baths', 'Fort', 'Fort', 'Forum', 'Urban grid', 'Walls', 'Walls']",10,POINT (-3.530026 50.722434),395,33.0,33.0,33.0,5210.0,5210.0,1.0
395,Hanson2016_396,Isurium,Aldborough,Britannia,United Kingdom,3,9 F6,100,,DGRG; McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995.,20.0,Walls,['Civitas capital'],"['Amphitheatre', 'Baths', 'Fort', 'Forum', 'Urban grid?', 'Walls', 'Walls']",7,POINT (-1.371971 54.091275),396,,,,,2290.0,
396,Hanson2016_397,Lindinis,Ilchester,Britannia,United Kingdom,4 or 5,8 E4,100,,Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Wacher 1995.,9.0,Walls,['Civitas capital'],"['Fort', 'Walls', 'Walls']",3,POINT (-2.687138 51.003593),397,,,,,788.0,
397,Hanson2016_398,Lindum,Lincoln,Britannia,United Kingdom,3,8 G1,90,,McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Salmon 1969; Wacher 1995.,41.0,Fort and extension,['Colonia'],"['Aqueduct', 'Arch?', 'Baths (Lower town)', 'Baths (Upper town)', 'Fort', 'Forum', 'Forum-basilica', 'Fountain?', 'Temple', 'Urban grid', 'Walls']",11,POINT (-0.5384359999999999 53.234863),398,34.0,34.0,34.0,6034.0,5976.0,1.0097054886211512
398,Hanson2016_399,Londinium,London,Britannia,United Kingdom,2,8 G3,60,,McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995; Woloch 1983.,160.0,Walls,"['Colonia', 'Municipium', 'Provincial capital']","['Amphitheatre', 'Aqueduct', 'Arch', 'Baths', 'Baths', 'Bridge?', 'Fort?', 'Forum-basilica', 'Market?', 'Mithraeum', 'Temple', 'Temple', 'Temple of Isis', 'Temple of Jupiter Optimus Maximus', 'Urban grid', 'Walls']",16,POINT (-0.086632 51.510879),399,35.0,35.0,35.0,36851.0,36851.0,1.0
399,Hanson2016_400,Luguvalium,Carlisle,Britannia,United Kingdom,3,9 E6,100,,BNP; Burnham and Wacher 1990; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995.,28.0,Inhabited area,['Civitas capital'],"['Fort', 'Temple', 'Walls', 'Walls']",4,POINT (-2.938982 54.89532),400,,,,,3590.0,
400,Hanson2016_401,Moridunum,Carmarthen,Britannia,United Kingdom,3,8 C3,100,,DGRG; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Wacher 1995.,15.0,Walls,['Civitas capital'],"['Amphitheatre', 'Basilica?', 'Baths', 'Fort', 'Forum?', 'Temple?', 'Urban grid', 'Walls', 'Walls']",9,POINT (-4.296705 51.862004),401,,,,,1559.0,
401,Hanson2016_402,Noviomagus (Britannia (Inferior et Superior)),Chichester,Britannia,United Kingdom,3,8 G4,70,,BNP; DGRG; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995; Woloch 1983.,42.0,Walls,['Civitas capital'],"['Amphitheatre', 'Baths', 'Fort', 'Forum-basilica', 'Temple of Neptune and Minerva', 'Temple?', 'Urban grid', 'Walls', 'Walls']",9,POINT (-0.779196 50.836505),402,,,,,6171.0,
